section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength
i_section,True,150.3235000178139,115.00930343007796,23.46703277798894,12.802554912289464,18.970084310018436,8,7039.877358847745,0.7123489254361105,0.2781255663006985,23862061.488119368,6008794.409836279,-1.2080439163418059e-08,80838.32771222614,0.3578051991535819,421.5730408293576
i_section,True,303.49800762772384,182.2979968530645,29.034113864404812,8.125305949368308,18.081870112112814,8,12869.172138030848,0.7056580871849956,0.19330735560093693,214182760.61244333,29349743.11484739,-2.1486431631024436e-07,72720.31144268243,0.4660303555108021,547.4731682043391
i_section,True,135.6420363611658,294.183463261838,20.760620052973753,15.843582809897804,9.376892850802552,8,13783.861689704418,0.7601155987720329,0.1197246816398629,41998980.923193164,88132810.18439713,-6.641801453731119e-07,73516.38759476943,0.3657181162143925,747.7309472362373
i_section,True,106.53517720641136,101.39874488002397,19.298159845616617,19.78174419430762,17.656230721254456,8,5533.3682075533125,0.7252773425589277,0.36379351976951585,8334987.071025659,3453624.6675816095,5.516948757161366e-08,88505.67070542,0.35354406115819415,414.14458940490425
i_section,True,286.2111977860708,70.63080615132085,10.54129190481212,9.26544835951248,18.07428689768324,8,4234.631294302447,0.310624884242352,0.602261283457826,47466066.0636489,662267.1534494633,1.6642497568782026e-08,102687.9750432237,0.5230891346013222,517.71630497682
i_section,True,329.9921444248749,76.50065406315824,28.89170435365332,22.245689019558192,6.146605915184817,8,10509.364347060418,0.2713123205501169,0.6397543740248093,138496923.67657015,2410855.0447678813,-1.0107084111716884e-08,96621.58632556506,0.4693830520288619,480.253485698556
i_section,True,153.5598421022086,178.57930081900372,20.909995826549817,14.111561518391708,12.283180878381271,8,9178.49015639188,0.7157918618057894,0.21332034282626258,35142039.88662628,19886928.69367645,1.1497521915770684e-08,84936.78091280599,0.3677027336683905,435.003432559173
i_section,True,364.1334368076793,225.2998240929291,24.223409839035405,28.18049630226183,9.200644321198396,8,19886.157581143485,0.4978433437442803,0.4643314143610267,391510525.78808206,46779303.02122355,2.4562151987947474e-07,79517.66608065892,0.29211716992017256,486.61957898285743
i_section,True,317.9839409161017,186.88538852500233,19.165067794113355,8.953982536202817,14.15983862978767,8,9844.742220362219,0.6322824449109138,0.2807071453064987,179758450.57074347,20877573.67511469,-4.846158920425675e-07,96726.08919701423,0.4039685455142586,477.90804569721286
i_section,True,226.5194705452476,92.82134182019598,8.360955749490689,10.644460806195815,14.236840348817847,8,3964.651301342967,0.4050023020452867,0.5774909329137698,28522640.840290207,1150011.3341290806,-4.5951102822306816e-08,127513.26170904402,0.4580950070643913,451.49077132275033
i_section,True,175.39518771204197,119.14661111662032,17.883493427114487,19.5933936879348,12.362585446684687,8,7132.518455386304,0.5717199472199386,0.43825885970462947,31598069.671198085,5151139.708951432,-8.894559610167819e-08,120772.56177720215,0.5428216092801427,464.7442186720813
i_section,True,160.9276529104945,182.22995492292264,21.007938900055585,23.970431831018786,12.413216462906396,8,10643.240786881546,0.6611015848277879,0.3064088305157575,41552345.452952646,21355243.040107686,2.7082583257862167e-07,100964.33467831033,0.6133770592892569,520.9460067615066
i_section,True,181.64480112701904,272.3215547056541,25.788069985679012,10.549331069458688,13.95086403966912,8,15589.619498336535,0.770321158258211,0.1153729626047572,88667680.66727148,86825058.0987142,8.584898299863541e-07,95552.96654044685,0.5366585118101411,451.87503944885196
i_section,True,125.28933169292827,181.21788727540792,15.400643763761302,12.408502881038434,15.469979489641428,8,6965.927715358057,0.724371737942127,0.20052358148200994,18239921.778367274,15312302.52632308,-2.0460144441605826e-07,119324.97627120295,0.5426652122691419,511.1012066277174
i_section,True,220.11104966811945,108.82994452733669,15.782929076151142,29.47212975188073,8.768357782705902,8,9060.158834195212,0.43784279019411504,0.6401503641989694,52968515.84117193,3812101.372372936,-3.0220730779690837e-07,113100.1356293134,0.4960832468593772,440.7691065224539
i_section,True,396.0847883490069,79.59190268859119,9.597131487650362,28.57870279391991,12.366512198549163,8,12434.049003408658,0.11906453587145625,0.8029446845120453,189223260.2568952,1579937.342377374,-1.564186738062209e-08,124865.20646630893,0.5516715509417706,431.6409101310487
